t,x_forwardRiemann,x_trap,diff_trap_forward
  3.22500000,  4.1192951883E-01,  3.9320715106E-01,  1.8722367764E-02
  3.25000000,  3.7219682808E-01,  3.5418533460E-01,  1.8011493483E-02
  3.27500000,  3.3225742740E-01,  3.1496640307E-01,  1.7291024327E-02
  3.30000000,  2.9213564614E-01,  2.7557426860E-01,  1.6561377536E-02
  3.32500000,  2.5185594304E-01,  2.3603296633E-01,  1.5822976708E-02
  3.35000000,  2.1144289055E-01,  1.9636663903E-01,  1.5076251520E-02
  3.37500000,  1.7092115911E-01,  1.5659952166E-01,  1.4321637451E-02
  3.40000000,  1.3031550138E-01,  1.1675592588E-01,  1.3559575500E-02
  3.42500000,  8.9650736432E-02,  7.6860224530E-02,  1.2790511901E-02
  3.45000000,  4.8951733861E-02,  3.6936836029E-02,  1.2014897832E-02
  3.47500000,  8.2433979524E-03, -2.9897911702E-03,  1.1233189123E-02
  3.50000000, -3.2449348227E-02, -4.2895194190E-02,  1.0445845963E-02
  3.52500000, -7.3101578717E-02, -8.2754911320E-02,  9.6533326032E-03
  3.55000000, -1.1368838055E-01, -1.2254449761E-01,  8.8561170563E-03
  3.57500000, -1.5418486962E-01, -1.6223954041E-01,  8.0546707947E-03
  3.60000000, -1.9456620653E-01, -2.0181567498E-01,  7.2494684467E-03
  3.62500000, -2.3480761240E-01, -2.4124859989E-01,  6.4409874917E-03
  3.65000000, -2.7488438464E-01, -2.8051409259E-01,  5.6297079519E-03
  3.67500000, -3.1477191263E-01, -3.1958802472E-01,  4.8161120840E-03
  3.70000000, -3.5444569343E-01, -3.5844637750E-01,  4.0006840694E-03
  3.72500000, -3.9388134727E-01, -3.9706525697E-01,  3.1839097027E-03
  3.75000000, -4.3305463310E-01, -4.3542090918E-01,  2.3662760798E-03
  3.77500000, -4.7194146399E-01, -4.7348973528E-01,  1.5482712855E-03
  3.80000000, -5.1051792237E-01, -5.1124830645E-01,  7.3038408019E-04
  3.82500000, -5.4876027526E-01, -5.4867337884E-01,  8.6896413612E-05
  3.85000000, -5.8664498931E-01, -5.8574190828E-01,  9.0308102475E-04
  3.87500000, -6.2414874575E-01, -6.2243106491E-01,  1.7176808469E-03
  3.90000000, -6.6124845517E-01, -6.5871824762E-01,  2.5302075517E-03
  3.92500000, -6.9792127214E-01, -6.9458109844E-01,  3.3401737015E-03
  3.95000000, -7.3414460975E-01, -7.2999751669E-01,  4.1470930611E-03
  3.97500000, -7.6989615386E-01, -7.6494567295E-01,  4.9504809095E-03
  4.00000000, -8.0515387732E-01, -7.9940402297E-01,  5.7498543492E-03
  4.02500000, -8.3989605386E-01, -8.3335132124E-01,  6.5447326155E-03
  4.05000000, -8.7410127188E-01, -8.6676663450E-01,  7.3346373838E-03
  4.07500000, -9.0774844805E-01, -8.9962935497E-01,  8.1190930752E-03
  4.10000000, -9.4081684060E-01, -9.3191921344E-01,  8.8976271605E-03
  4.12500000, -9.7328606253E-01, -9.6361629207E-01,  9.6697704622E-03
  4.15000000, -1.0051360944E+00, -9.9470103700E-01,  1.0435057454E-02
  4.17500000, -1.0363472973E+00, -1.0251542707E+00,  1.1193026558E-02
  4.20000000, -1.0669004248E+00, -1.0549572044E+00,  1.1943220439E-02
  4.22500000, -1.0967766356E+00, -1.0840914493E+00,  1.2685186299E-02
  4.25000000, -1.1259575052E+00, -1.1125390290E+00,  1.3418476162E-02
  4.27500000, -1.1544250377E+00, -1.1402823905E+00,  1.4142647164E-02
  4.30000000, -1.1821616770E+00, -1.1673044152E+00,  1.4857261832E-02
  4.32500000, -1.2091503183E+00, -1.1935884299E+00,  1.5561888367E-02
  4.35000000, -1.2353743184E+00, -1.2191182175E+00,  1.6256100916E-02
  4.37500000, -1.2608175067E+00, -1.2438780268E+00,  1.6939479845E-02
  4.40000000, -1.2854641951E+00, -1.2678525831E+00,  1.7611612008E-02
  4.42500000, -1.3092991883E+00, -1.2910270973E+00,  1.8272091009E-02
  4.45000000, -1.3323077930E+00, -1.3133872756E+00,  1.8920517462E-02
  4.47500000, -1.3544758276E+00, -1.3349193284E+00,  1.9556499243E-02
  4.50000000, -1.3757896309E+00, -1.3556099791E+00,  2.0179651747E-02
  4.52500000, -1.3962360708E+00, -1.3754464727E+00,  2.0789598126E-02
  4.55000000, -1.4158025528E+00, -1.3944165833E+00,  2.1385969533E-02
  4.57500000, -1.4344770279E+00, -1.4125086225E+00,  2.1968405356E-02
  4.60000000, -1.4522480000E+00, -1.4297114465E+00,  2.2536553450E-02
  4.62500000, -1.4691045336E+00, -1.4460144632E+00,  2.3090070362E-02
  4.65000000, -1.4850362604E+00, -1.4614076388E+00,  2.3628621545E-02
  4.67500000, -1.5000333861E+00, -1.4758815045E+00,  2.4151881579E-02
  4.70000000, -1.5140866964E+00, -1.4894271621E+00,  2.4659534374E-02
  4.72500000, -1.5271875633E+00, -1.5020362899E+00,  2.5151273371E-02
  4.75000000, -1.5393279499E+00, -1.5137011481E+00,  2.5626801744E-02
  4.77500000, -1.5505004161E+00, -1.5244145835E+00,  2.6085832583E-02
  4.80000000, -1.5606981230E+00, -1.5341700339E+00,  2.6528089080E-02
  4.82500000, -1.5699148376E+00, -1.5429615329E+00,  2.6953304707E-02
  4.85000000, -1.5781449364E+00, -1.5507837130E+00,  2.7361223385E-02
  4.87500000, -1.5853834093E+00, -1.5576318096E+00,  2.7751599650E-02
  4.90000000, -1.5916258624E+00, -1.5635016636E+00,  2.8124198806E-02
  4.92500000, -1.5968685215E+00, -1.5683897244E+00,  2.8478797081E-02
  4.95000000, -1.6011082338E+00, -1.5722930521E+00,  2.8815181766E-02
  4.97500000, -1.6043424706E+00, -1.5752093193E+00,  2.9133151354E-02
  5.00000000, -1.6065693284E+00, -1.5771368127E+00,  2.9432515670E-02
